vineyard_winery|ava|appellation|region|state|wine_name|style|wine_type|varietal_breakdown_array|vintage|description|alcohol_percent|price|date_scraped
https://altacolinawine.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|12 O'Clock High Viognier|White|Varietal|Viognier:1|2018|This is Viognier done right! Beautiful acidity balances this very extroverted, aromatic white Rhone. The nose is an inviting explosion of stone fruit and wet stone and that power carries through the palate beautifully. This vintage is the best Viognier we’ve ever made! Enjoy it with quiche, aged cheeses, or on a sunny afternoon.||38|2020-10-01
https://altacolinawine.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Vin de Paille|Dessert|Varietal|Viognier:1|2018|"Bob describes our Vin de Paille as ""nectar of the gods!"" For those moments when a touch of balanced sweetness is just right, our Vin de Paille is the perfect choice. Making this wine was unlike any we've ever attempted. Channeling some very old world winemaking tactics, we harvested these Viognier grapes at the same time as those that go into our dry 12 O'Clock High Viognier. Harvesting a the grapes for a dessert wine that early in the season means beautiful, natural acidity. We firmly believe that acid is the key to a dessert wine that has none of that cloying, over-the-top sugar you find in some dessert wines. To achieve the desired level of sweetness, we laid down each cluster by hand on a bed of straw ('Vin de Paille' translates to 'wine of straw'). The straw naturally dehydrated the berries, which concentrates that naturally-occurring sugar. The result? Well, Bob nailed it. It's like the greatest nectar you've ever enjoyed an ounce of!"||50|2020-10-01
https://altacolinawine.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Downslope Red|Red|Blend|Syrah:.63,Grenache:.37|2018|The ultimate, estate-grown, drink now red! Downslope is a total crowd pleaser: rich Alta Colina fruit that’s also approachable enough to enjoy right now. This is a no-brainer, screwcap red blend to stay stocked up on year round.Alta Colina Vineyard is steep! At its peak, we hit almost 1800 feet of altitude and our vines grow on the unwelcoming, stressful, shale hillsides of our Adelaida District property. Over years of farming we found that the portions of our Vineyard furthest down the hills (down the slopes!), consistently grow more fruit because they’re less stressed than the rest of the Vineyard. Top soil has eroded downhill, which provides those vines nutrients and slightly more access to water. We’re able to get closer to two bottles of wine per vine at the bottoms of the hills versus just one bottle of wine per vine everywhere else on the property.||34|2020-10-01
https://altacolinawine.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|GSM|Red|Blend|Grenache:.76,Syrah:.20,Mourvedre:.04|2017|As it turns out, France figured it out! We draw inspiration straight from the source to deliver our own take on this classic Grenache/Syrah/Mourvedre blend every vintage. Coming in at 76% Grenache, this Grenache-driven 2017 blend perfectly shows off why we love Rhones.||56|2020-10-01
https://altacolinawine.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Toasted Slope Syrah|Red|Blend|Syrah:.99,Viognier:.01|2017|One of our signatures, this year’s Toasted Slope Syrah captures the power and finesse of Alta Colina Vineyard. Aged in about 60% new oak, this is not a shy Syrah! Powerful fruit marries with oak and delivers a gorgeous, refined expression of Syrah. Decant and enjoy sooner or enjoy this iconic red in six to eight years.||56|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|CHENIN BLANC DEMI-SEC|White|Varietal|Chenin Blanc:1|2018|Fermented with all native yeasts and Malolactic bactereria in a 200 gallon clay Amphora; you may have met said Amphora at the tasting room? Aged for six months in the Amphora prior to bottling. There is just a kiss of sweetness in this Chenin. As with any Chenin worth its salt, the nose is subtle with a slight aroma of pine nut, wet stone and blanched almond. It’s fresh and pure. Of course that kiss of sweetness is evident on the palate. This wine for me is more about texture and finesse than anything overtly fruit driven. Mineral driven with gentle neb and verbena notes. Silky smooth all the way home!! Can you sense the amphora? Bring me a Thai coconut based curry and I will be happy.||35|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|PETILLANT NATUREL|Sparkling|Varietal|Chenin Blanc:1|2019|Our new release of sparkling Chenin or Petillant Naturel is a light and refreshing drink, Our love for drinking sparkling wine urged us to make a beverage that could be consumed at all times of the day and for any occasion.  Tropical fruit on the nose leads to a bright acidity and soft spritzy bubbles that subtly arouse your taste buds long after your first sip. Cheers||35|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|COCAVIN|Red|Blend|Mourvedre:.34,Syrah:.33,Grenache:.33|2014|Made from a selection of the fruit from the vineyard surrounding the tasting room of Lone Madrone. Cocavin. The distinctive wines of Lone Madrone are reflective of the land from which they were born and the people involved in their being.|0.143|30|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|GRENACHE|Red|Varietal|Grenache:1|2015|This Grenache was produced from the grapes grown on the Will's Hills Vineyard, planted by Neil and Ginny Heaton on their dry-farmed, head-trained family property. The wine has great depth and structure with great acidity and length.|0.15|50|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|POINTS WEST RED|Red|Varietal|Mourvedre:.56,Syrah:.23,Cinsault:.1,Grenache:.08,Counoise:.03 |2015|This wine was produced from grapes grown on the impressively steep, limestone hills of Paso Robles. Points West Red is an excellent display of what these grape varieties can achieve when planted in the exceptional soils and climate of Paso Robles.|0.145|28|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|LA MEZCLA ROJA|Red|Varietal|Cinsault:.60,Counoise:.25,Grenache:.15|2018|A blend of 60% Cinsault, 25% Counoise, and 15% Grenache this is a wine that is built to drink early.  Bottled in the year of its primary fermentation this wine has the acidity to allow for age with the fruit to deliver balanced drinking now.  We like to drink this red wine slightly chilled, especially in the summer months, but we leave that choice to you. A fabulous food wine this Roja will pair to perfection with your Thanksgiving Dinner.||35|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Old Hat|Red|Blend|Zinfandel:|2015|Lone Madrone's Old Hat is made with grapes from the Osgood family farm. David Osgood has tended the old, dry farmed vineyards of west Paso Robles for many years. The Osgood Vineyard is planted with Paso heritage selections. The vines are head pruned and dry farmed in the classic style. The name OLD HAT was inspired by David's ever present hat...coupled with the fact that a Paso Zin/ Petite blend is indeed 'old hat'. Cheers Osgood Family. |0.153|45|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|BAILEY RANCH ZINFANDEL|Red|Varietal|Zinfandel:1|2016|David Bailey planted this vineyard on the old family property on Peachy Canyon Road. This a head pruned, dry farmed vineyard.  This wine is 100% Zin - old time Paso baby! Yeahh! It is all you expect and then just a wee bit more. Cheers, David Bailey|0.138|45|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Templeton Gap|Paso Robles|CA|OLD VINE ZINFANDEL|Red|Varietal|Zinfandel:1|2013||0.155|60|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|The Dodd|Red|Blend|Tannat:.41,Petit Verdot:.26,Cabernet Sauvignon:.21,Zinfandel:.12|2014|This unique field blend is produced from a truly singular vineyard, planted and tended by one of the true pioneer families of Paso Robles. The Dodds are solid people who know and love their land, and farm it accordingly. The vines on the dry-farmed head pruned Klau Mine Vineyards yield a wine of depth, structure and complexity. Cheers to the Dodds!|0.143|50|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Bollo|Red|Blend|NA:|2013|This wine is fermented on wild yeasts and malolactic bacteria in a closed stainless steel tank with daily pumpovers. This is the only wine that we allow to macerate for a full thirty days. After which it is pressed directly to brand new French oak 132 gallon puncheons and this is where it rests for a full 36 months, and then a minimum one year in bottle. This is not a wine where youthful vibrant fruit leaps from the glass and assaults you. No, it is restrained and thoughtful; thought provoking perhaps. A gentleman's club of days pat, it is leatherand whispy cigar smoke. Fruit is bright and present, red currant cloaked in dark chocolate. The structureis so complete and intertwined it is elegant. This is not a wine for me to write about it is one that inspires one to cook, better still, call an Italian friend and have them cook; you'll bring the Bollo!! Sante!!||70|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|York Mountain|Paso Robles|CA|CABERNET SAUVIGNON|Red|Varietal|Cabernet Sauvignon:1|2014|Atop a hill between the mountain and the sea the madrone stands alone, as do the wines crafted from the grapes over which the madrone presides. This wine is unfiltered therefore, some goodness may repose in its depths.|0.146|70|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|SYRAH|Red|Varietal|Syrah:1|2016|The distinctive wines of Lone Madrone are reflections of the land from which they were born and of the people involved in their being. Enjoy them in good company with good food. ||50|2020-10-01
https://www.lonemadrone.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|SWEET CHEEKS|Dessert|Varietal|Viognier:1|2012|A delectable bouquet of baked golden delicious, cinnamon, and buttery pie crust might convince one that Neil has finally figured out how to bottle a pie. But don’t just sniff the pie, drink it! This aptly-named wine caresses the palate sweetly, balanced by classic Vin de Paille acidity, and finishes with the craving for another sip. |0.084|42.5|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Estate Pinot Noir|Red|Varietal|Pinot Noir:1|2017|Sublte cherry and pomegranate reflect through the glass, with grouding sage balancing it out, forecasting a luxurious and complex future for this fresh young wine. |0.141|38|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Estate Pinot Noir|Red|Varietal|Pinot Noir:1|2018|Our latest vintage showcases the original Kruse Estate Vineyard terroir as it bursts with strawberry and pomegranate on the nose. The mouthfeel features soft tannins, a bounty of red fruit and a really cool graham cracker finish. This wine will definitely age gracefully. Cheers!|0.139|38|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Reserve Pinot Noir|Red|Varietal|Pinot Noir:1|2017|Bing cherry and boysenberry on the brink of ripeness bounce off the surface, layering with forest floor; a rich finish of carob chip, vanilla and cinnamon provide a satiating finish. |0.142|46|2020-10-01
